Sender_Account_Num,R,F,M,importance_flag,cluster_label
2108,4,4,3,High,5
2116,4,4,1,High,0
2126,4,2,2,Mid,5
2137,4,4,1,High,0
2152,4,4,1,High,0
2171,4,2,4,High,4
2182,4,1,3,Mid,7
2211,4,2,1,Mid,3
2213,4,3,2,High,4
2214,4,3,2,High,5
2236,4,3,2,High,7
2249,4,1,2,Mid,5
2258,1,1,2,Low,2
2260,4,3,2,High,7
2274,4,4,2,High,2
2288,4,3,1,High,1
2294,4,4,4,High,6
2306,4,1,2,Mid,4
2308,4,3,4,High,2
2315,4,4,3,High,7
2331,4,4,4,High,9
2369,4,2,4,High,3
2387,4,2,2,Mid,3
2390,4,4,3,High,5
2430,4,3,4,High,5
2440,4,2,2,Mid,4
2446,4,1,1,Mid,1
2486,4,1,3,Mid,9
2487,1,1,2,Low,2
2493,4,2,1,Mid,9
2518,4,4,3,High,2
2528,1,1,4,Low,3
2538,4,1,3,Mid,6
2574,4,3,1,High,6
2580,4,3,4,High,8
2585,4,2,4,High,3
2632,4,3,1,High,8
2641,4,4,3,High,0
2647,4,4,4,High,4
2663,4,4,2,High,0
2666,4,2,2,Mid,1
2677,4,2,2,Mid,1
2710,4,1,3,Mid,1
2711,4,4,2,High,8
2719,4,2,3,High,1
2760,4,4,2,High,6
2767,4,4,1,High,0
2771,4,4,4,High,8
2778,4,4,3,High,8
2779,4,4,3,High,0
2795,4,3,4,High,4
2817,4,4,1,High,2
2838,1,1,4,Low,8
2844,4,1,3,Mid,4
2852,1,2,2,Low,2
2854,4,3,4,High,1
2858,4,3,4,High,9
2862,4,4,4,High,0
2876,4,2,1,Mid,9
2881,4,3,4,High,1
2888,1,1,2,Low,1
2895,4,3,4,High,3
2910,4,4,3,High,3
2984,4,2,2,Mid,10
2987,4,3,1,High,3
2997,4,2,1,Mid,7
3017,4,4,3,High,1
3045,4,1,2,Mid,3
3048,4,3,4,High,5
3070,4,1,2,Mid,6
3083,1,1,1,Low,1
3093,4,2,3,High,4
3102,4,2,4,High,7
3107,4,3,3,High,7
3109,4,1,3,Mid,5
3142,4,2,3,High,1
3143,4,4,2,High,2
3145,4,1,3,Mid,3
3158,1,3,3,Low,10
3217,4,3,1,High,3
3226,4,4,4,High,8
3237,4,4,4,High,5
3241,4,3,4,High,4
3252,4,2,3,High,1
3269,4,4,1,High,0
3285,1,1,2,Low,4
3287,4,3,4,High,3
3291,4,1,4,Mid,3
3296,4,4,3,High,2
3317,4,4,1,High,6
3329,1,2,2,Low,4
3362,4,2,4,High,4
3378,4,1,3,Mid,7
3381,1,1,1,Low,1
3395,4,3,1,High,1
3402,1,1,2,Low,4
3417,1,1,4,Low,8
3431,4,3,2,High,4
3456,4,4,4,High,0
3458,4,4,4,High,8
3465,4,3,4,High,4
3472,4,1,3,Mid,3
3498,4,4,3,High,6
3512,1,1,4,Low,4
3521,1,2,1,Low,7
3559,1,2,2,Low,2
3575,4,3,4,High,4
3577,1,2,1,Low,2
3580,4,4,1,High,6
3582,4,1,2,Mid,3
3599,4,4,4,High,6
3602,4,3,3,High,10
3615,4,2,2,Mid,4
3634,4,1,2,Mid,3
3638,4,4,1,High,0
3642,4,1,1,Mid,7
3650,4,4,1,High,1
3675,1,1,2,Low,1
3694,4,2,1,Mid,1
3704,4,2,4,High,3
3712,4,2,4,High,3
3765,4,2,1,Mid,9
3776,4,1,4,Mid,2
3786,4,2,4,High,3
3795,4,3,1,High,9
3800,1,2,3,Low,3
3822,4,3,1,High,3
3838,4,2,4,High,3
3868,4,4,3,High,8
3880,4,3,1,High,4
3890,4,4,2,High,0
3896,4,3,3,High,3
3905,4,2,1,Mid,9
3907,1,1,1,Low,6
3934,1,1,3,Low,3
3939,4,4,3,High,5
3958,4,1,1,Mid,1
3970,4,3,3,High,7
3994,4,1,4,Mid,3
4009,4,4,1,High,0
4018,4,2,3,High,3
4021,4,4,2,High,0
4044,4,4,3,High,0
4047,1,2,1,Low,9
4081,1,2,3,Low,2
4083,1,1,4,Low,7
4106,4,1,4,Mid,3
4107,4,3,2,High,4
4125,4,4,3,High,0
4141,4,2,3,High,1
4142,4,2,4,High,2
4148,4,4,4,High,8
4154,4,1,3,Mid,3
4171,1,1,1,Low,1
4177,4,2,1,Mid,5
4206,4,4,4,High,5
4212,4,1,1,Mid,1
4230,4,1,1,Mid,7
4239,4,2,4,High,5
4265,4,3,3,High,6
4276,4,2,2,Mid,4
4279,4,4,3,High,2
4301,1,1,1,Low,7
4305,4,4,2,High,4
4309,4,3,4,High,2
4313,4,3,4,High,0
4324,4,3,1,High,7
4336,1,2,1,Low,9
4343,4,2,1,Mid,4
4386,1,2,2,Low,5
4403,1,3,2,Low,7
4416,4,4,1,High,2
4428,4,2,1,Mid,4
4463,4,3,2,High,10
4465,4,3,3,High,0
4490,4,2,4,High,3
4494,4,3,2,High,5
4497,4,1,3,Mid,3
4498,4,4,4,High,2
4511,1,1,2,Low,4
4516,4,4,1,High,0
4518,4,2,1,Mid,5
4526,4,4,4,High,5
4548,4,3,4,High,1
4549,4,2,2,Mid,3
4555,4,4,2,High,0
4558,4,4,4,High,2
4559,4,1,1,Mid,1
4571,1,1,4,Low,1
4572,4,4,2,High,10
4585,4,4,2,High,2
4614,4,3,2,High,1
4621,1,1,1,Low,1
4623,4,4,1,High,2
4651,4,1,1,Mid,4
4655,4,1,3,Mid,4
4686,4,3,3,High,1
4690,4,3,4,High,3
4691,4,1,3,Mid,1
4695,4,3,3,High,1
4697,4,4,4,High,2
4708,4,1,1,Mid,7
4710,4,4,2,High,2
4717,4,3,3,High,2
4731,4,4,4,High,0
4739,4,1,1,Mid,7
4754,4,1,1,Mid,2
4759,1,3,3,Low,4
4767,4,3,1,High,5
4809,4,4,3,High,0
4815,4,3,2,High,5
4818,4,3,1,High,1
4819,4,2,2,Mid,5
4820,1,2,2,Low,3
4823,4,3,2,High,3
4824,4,4,4,High,8
4832,4,3,2,High,5
4837,4,4,4,High,9
4838,4,3,3,High,3
4840,4,2,3,High,2
4861,4,2,1,Mid,8
4871,4,2,2,Mid,7
4875,4,3,4,High,6
4888,4,4,4,High,0
4898,4,3,1,High,0
4903,4,1,2,Mid,1
4905,4,3,4,High,2
4930,4,3,2,High,10
4931,4,1,4,Mid,7
4955,4,3,4,High,7
4958,4,4,4,High,5
4976,4,2,1,Mid,6
4993,4,1,4,Mid,1
5001,4,4,4,High,0
5039,4,3,3,High,10
5057,4,1,1,Mid,7
5058,4,3,2,High,2
5063,4,1,1,Mid,9
5068,4,1,3,Mid,3
5093,4,3,1,High,7
5108,4,4,3,High,8
5119,4,3,4,High,2
5127,4,1,1,Mid,1
5164,4,2,3,High,1
5167,1,1,1,Low,1
5173,4,3,2,High,3
5174,4,4,2,High,0
5180,1,1,1,Low,2
5198,4,1,1,Mid,1
5200,4,1,2,Mid,9
5215,4,3,2,High,4
5219,4,1,3,Mid,1
5222,4,3,3,High,1
5237,4,1,1,Mid,1
5241,4,2,3,High,6
5248,1,2,3,Low,3
5251,4,3,3,High,6
5261,1,2,3,Low,9
5266,1,2,4,Low,4
5276,4,1,1,Mid,9
5280,1,2,3,Low,4
5283,4,4,3,High,4
5285,4,3,4,High,1
5289,4,4,2,High,0
5291,4,3,2,High,9
5292,4,2,4,High,3
5298,4,4,3,High,8
5299,4,1,4,Mid,2
5300,1,1,3,Low,9
5304,4,4,4,High,7
5307,4,2,4,High,1
5319,4,4,3,High,6
5322,4,4,4,High,2
5338,4,2,3,High,3
5347,4,2,2,Mid,6
5353,1,1,4,Low,4
5357,4,4,3,High,8
5378,1,1,4,Low,3
5391,1,1,1,Low,1
5394,4,1,1,Mid,3
5403,4,1,4,Mid,4
5412,4,1,2,Mid,3
5439,4,2,1,Mid,4
5457,1,1,2,Low,4
5462,4,3,1,High,4
5486,4,4,2,High,5
5491,4,1,3,Mid,5
5494,1,2,4,Low,8
5499,4,2,3,High,1
5500,1,1,1,Low,4
5501,4,3,4,High,4
5511,4,3,2,High,0
5514,4,4,1,High,0
5522,4,4,2,High,0
5525,4,3,1,High,1
5538,4,2,3,High,1
5556,4,1,2,Mid,3
5569,4,4,4,High,0
5580,4,3,4,High,1
5589,4,2,2,Mid,10
5615,4,2,1,Mid,4
5620,4,2,4,High,1
5653,4,4,4,High,0
5671,4,3,2,High,3
5679,4,3,3,High,3
5701,4,4,2,High,0
5706,4,2,3,High,3
5720,1,1,1,Low,4
5733,1,1,4,Low,4
5740,4,4,4,High,5
5782,4,2,3,High,5
5784,1,1,4,Low,1
5797,4,4,4,High,0
5803,4,2,2,Mid,7
5805,4,4,2,High,0
5809,4,2,1,Mid,6
5831,4,4,3,High,0
5844,4,3,2,High,2
5852,4,4,3,High,4
5853,4,4,2,High,8
5876,4,2,4,High,2
5882,4,2,1,Mid,9
5889,1,1,1,Low,6
5890,4,2,1,Mid,7
5919,4,1,3,Mid,5
5936,4,2,3,High,3
5941,4,4,1,High,0
5960,4,4,3,High,8
5979,4,2,4,High,3
5984,4,4,3,High,2
6010,4,3,2,High,2
6016,1,3,1,Low,4
6030,4,2,4,High,6
6031,1,1,2,Low,4
6046,1,1,2,Low,5
6048,4,3,4,High,3
6053,4,4,2,High,0
6058,4,4,2,High,2
6059,4,3,1,High,4
6060,1,2,3,Low,9
6094,4,2,2,Mid,2
6097,4,2,4,High,8
6100,4,1,1,Mid,1
6104,4,2,1,Mid,7
6107,1,1,4,Low,10
6154,4,4,3,High,0
6186,4,1,1,Mid,3
6194,1,1,1,Low,1
6211,4,2,1,Mid,4
6233,4,4,2,High,2
6234,4,1,4,Mid,3
6246,4,2,3,High,1
6286,1,1,1,Low,1
6289,4,2,4,High,6
6293,4,1,1,Mid,3
6295,4,2,2,Mid,7
6296,1,2,2,Low,4
6302,1,3,1,Low,9
6315,1,2,1,Low,2
6327,1,2,1,Low,7
6339,4,3,3,High,4
6347,4,4,2,High,0
6360,4,4,2,High,0
6361,1,1,1,Low,5
6362,1,2,1,Low,6
6406,4,4,4,High,2
6415,4,2,2,Mid,9
6431,4,3,1,High,7
6445,1,1,1,Low,1
6459,4,4,2,High,8
6468,4,2,1,Mid,1
6508,4,4,4,High,1
6517,4,4,3,High,0
6518,4,4,4,High,0
6536,4,3,4,High,5
6540,4,4,2,High,0
6545,4,3,4,High,4
6563,4,3,1,High,0
6567,4,3,3,High,5
6574,4,3,4,High,4
6575,4,3,2,High,3
6589,1,1,2,Low,3
6616,4,4,3,High,2
6627,4,2,1,Mid,7
6650,4,1,3,Mid,3
6651,4,1,3,Mid,10
6653,4,4,3,High,10
6677,4,4,2,High,1
6679,1,2,4,Low,5
6692,4,1,2,Mid,5
6754,4,2,3,High,3
6782,4,3,2,High,4
6809,4,1,1,Mid,1
6829,4,3,2,High,2
6842,4,3,1,High,7
6874,4,2,3,High,3
6889,4,1,3,Mid,1
6892,4,3,4,High,0
6900,4,1,2,Mid,7
6919,4,3,1,High,0
6920,4,1,3,Mid,6
6922,4,2,1,Mid,1
6924,1,2,1,Low,7
6935,4,3,4,High,7
6947,4,3,2,High,0
6957,4,2,3,High,2
7002,4,4,3,High,4
7014,4,4,3,High,0
7018,4,2,3,High,4
7020,4,4,3,High,2
7025,4,2,2,Mid,3
7039,4,3,4,High,4
7041,4,4,4,High,8
7058,4,4,4,High,2
7059,4,4,4,High,0
7072,4,4,4,High,4
7073,4,3,3,High,7
7088,4,4,3,High,8
7104,4,3,1,High,6
7120,4,3,2,High,4
7129,1,2,2,Low,1
7134,4,3,3,High,3
7143,4,1,1,Mid,1
7150,1,2,1,Low,3
7170,4,3,2,High,5
7192,4,4,2,High,2
7201,1,2,1,Low,7
7214,4,1,4,Mid,9
7224,4,2,2,Mid,3
7234,4,4,1,High,2
7235,4,4,3,High,6
7239,4,1,1,Mid,1
7246,4,3,4,High,10
7248,4,4,1,High,0
7257,4,3,4,High,4
7269,4,1,2,Mid,4
7272,4,1,2,Mid,4
7292,4,2,2,Mid,1
7293,4,1,1,Mid,7
7296,4,1,1,Mid,7
7300,4,4,3,High,8
7301,4,4,2,High,0
7310,4,4,1,High,0
7312,1,3,2,Low,2
7317,4,1,3,Mid,10
7318,4,2,3,High,3
7330,4,4,3,High,5
7337,4,2,3,High,5
7369,4,3,3,High,7
7373,4,3,3,High,3
7389,1,3,2,Low,1
7395,4,4,3,High,0
7396,4,3,3,High,2
7417,4,2,2,Mid,1
7421,4,2,2,Mid,7
7446,4,3,3,High,3
7453,4,4,4,High,0
7472,4,4,3,High,3
7475,4,4,2,High,2
7485,4,3,4,High,9
7534,4,2,3,High,3
7538,4,3,3,High,9
7550,4,4,4,High,2
7572,4,3,2,High,4
7582,4,2,4,High,7
7601,4,1,3,Mid,3
7623,4,1,4,Mid,3
7637,4,1,3,Mid,1
7659,4,3,3,High,4
7664,1,2,1,Low,1
7672,4,2,1,Mid,1
7680,1,2,2,Low,4
7686,4,1,3,Mid,1
7690,4,3,4,High,9
7692,4,1,2,Mid,7
7694,4,4,4,High,3
7746,4,3,4,High,4
7783,4,2,2,Mid,1
7791,1,3,4,Low,4
7809,4,2,3,High,8
7810,4,3,4,High,3
7831,4,4,3,High,2
7843,4,1,2,Mid,4
7851,4,4,2,High,2
7853,4,3,3,High,4
7857,4,2,4,High,2
7875,1,1,1,Low,3
7877,4,4,3,High,8
7909,4,1,3,Mid,1
7949,4,2,4,High,3
7964,4,4,2,High,8
7970,4,2,3,High,1
7979,4,4,4,High,5
7984,4,3,1,High,4
8001,4,4,4,High,2
8024,4,3,4,High,2
8031,1,2,1,Low,2
8058,4,4,1,High,0
8059,4,3,3,High,5
8065,1,3,4,Low,3
8089,4,1,2,Mid,9
8094,4,3,2,High,7
8097,4,3,3,High,6
8109,1,1,4,Low,8
8135,4,1,2,Mid,1
8143,4,3,4,High,1
8144,4,2,2,Mid,1
8164,4,4,3,High,4
8166,4,2,3,High,5
8179,4,1,1,Mid,7
8194,4,3,3,High,5
8197,1,2,3,Low,3
8203,1,2,3,Low,3
8221,4,1,1,Mid,5
8232,4,3,2,High,1
8236,1,1,4,Low,3
8250,1,1,2,Low,7
8253,4,2,1,Mid,7
8260,1,2,4,Low,2
8266,4,1,2,Mid,1
8267,4,4,2,High,8
8268,1,2,1,Low,4
8294,4,1,4,Mid,4
8295,4,1,1,Mid,7
8296,1,1,4,Low,4
8306,1,2,1,Low,7
8307,4,2,3,High,4
8327,4,3,2,High,7
8328,4,2,1,Mid,1
8331,4,4,4,High,2
8334,4,4,3,High,0
8377,4,4,4,High,8
8381,1,2,1,Low,6
8386,4,1,1,Mid,7
8387,4,3,1,High,4
8418,4,2,3,High,2
8431,4,1,2,Mid,5
8438,4,3,2,High,10
8472,4,2,2,Mid,2
8473,4,4,2,High,2
8474,4,2,4,High,3
8487,4,2,4,High,1
8506,4,4,4,High,8
8507,4,3,4,High,6
8518,1,1,3,Low,3
8556,4,3,1,High,4
8565,1,2,1,Low,9
8568,1,1,3,Low,1
8572,1,2,4,Low,4
8583,1,1,3,Low,1
8603,4,2,1,Mid,7
8607,4,3,4,High,9
8625,4,1,1,Mid,4
8633,4,4,3,High,8
8655,4,3,2,High,3
8661,4,3,4,High,1
8668,4,2,4,High,3
8682,4,4,2,High,0
8691,4,3,2,High,2
8718,1,2,1,Low,3
8741,4,1,1,Mid,2
8744,4,1,1,Mid,10
8801,4,3,3,High,7
8815,4,3,1,High,1
8864,4,3,4,High,1
8880,4,2,1,Mid,10
8882,4,3,4,High,7
8906,4,3,3,High,2
8907,4,2,3,High,1
8919,4,3,4,High,0
8943,4,2,1,Mid,4
8947,4,3,3,High,1
8968,1,3,1,Low,10
8982,4,2,2,Mid,1
8994,1,2,2,Low,1
9022,4,3,2,High,3
9029,4,2,3,High,2
9030,4,2,2,Mid,5
9041,4,4,3,High,2
9048,4,4,4,High,10
9075,4,2,3,High,1
9076,4,1,2,Mid,4
9088,4,3,2,High,2
9120,4,3,3,High,4
9133,4,3,4,High,9
9141,4,2,4,High,2
9150,1,1,1,Low,1
9162,4,2,4,High,3
9172,4,3,1,High,1
9173,1,2,2,Low,3
9186,4,4,2,High,8
9189,4,3,2,High,5
9204,4,2,3,High,4
9218,4,3,2,High,0
9225,4,3,3,High,1
9239,4,2,1,Mid,10
9250,4,1,1,Mid,4
9255,4,3,3,High,8
9256,4,2,1,Mid,4
9262,4,1,2,Mid,3
9267,4,3,2,High,6
9300,4,3,3,High,7
9303,4,3,4,High,1
9323,4,1,3,Mid,3
9333,4,1,1,Mid,9
9337,1,1,3,Low,7
9341,4,1,2,Mid,3
9347,4,4,2,High,0
9360,4,4,3,High,0
9381,4,4,3,High,5
9399,1,4,3,Mid,7
9407,1,2,2,Low,3
9453,4,3,2,High,6
9460,4,1,3,Mid,2
9474,4,4,4,High,0
9479,1,2,2,Low,1
9480,4,4,3,High,2
9499,4,3,1,High,0
9508,4,4,3,High,5
9518,4,2,3,High,3
9579,4,4,3,High,5
9580,4,1,1,Mid,5
9600,4,4,1,High,2
9642,4,2,4,High,3
9660,4,1,3,Mid,3
9678,4,1,4,Mid,3
9685,4,2,2,Mid,1
9687,4,3,2,High,7
9691,1,3,2,Low,2
9724,4,4,1,High,0
9740,4,4,4,High,0
9756,1,1,3,Low,1
9820,4,4,4,High,3
9869,4,4,4,High,0
9874,4,3,1,High,5
9880,4,3,1,High,5
9894,4,1,1,Mid,2
9900,4,2,3,High,3
9916,4,4,1,High,0
9925,4,3,2,High,7
9928,1,1,1,Low,3
9936,4,2,1,Mid,7
9944,4,1,2,Mid,1
9951,4,1,3,Mid,1
9983,4,4,3,High,8
10000,1,1,2,Low,2
10004,4,4,2,High,6
10021,4,3,1,High,10
10062,4,1,1,Mid,1
10078,4,2,3,High,1
10092,4,2,4,High,3
10099,4,3,4,High,1
10126,1,3,4,Low,0
10130,4,2,4,High,2
10134,4,3,3,High,3
10141,4,4,4,High,8
10145,4,4,2,High,0
10147,1,1,4,Low,4
10156,4,2,2,Mid,4
10179,4,4,2,High,0
10180,1,1,2,Low,2
10209,4,2,4,High,7
10215,4,2,3,High,1
10253,4,4,2,High,2
10254,1,1,1,Low,9
10259,4,4,3,High,8
10280,4,1,1,Mid,1
10300,4,2,3,High,3
10314,4,2,3,High,6
10320,4,2,1,Mid,1
10356,4,4,1,High,2
10371,4,4,3,High,0
10386,4,1,1,Mid,3
10402,4,3,2,High,2
10410,4,2,4,High,9
10432,4,1,2,Mid,3
10442,4,1,1,Mid,4
10451,4,2,4,High,9
10454,4,2,3,High,10
10464,4,1,1,Mid,3
10479,4,2,3,High,3
10485,4,4,2,High,2
10514,4,4,2,High,0
10520,4,3,1,High,10
10521,4,1,2,Mid,2
10538,4,4,2,High,0
10572,4,2,1,Mid,1
10581,4,4,3,High,5
10586,1,1,1,Low,4
10592,1,2,1,Low,1
10605,1,1,4,Low,1
10606,4,1,2,Mid,3
10634,4,2,2,Mid,7
10636,4,3,2,High,7
10641,4,3,4,High,7
10659,1,3,4,Low,2
10693,4,1,1,Mid,4
10695,4,4,4,High,0
10696,4,3,3,High,3
10709,4,4,1,High,5
10716,4,1,1,Mid,5
10740,1,1,3,Low,6
10743,4,2,4,High,6
10765,1,1,4,Low,3
10794,4,3,3,High,1
10813,4,4,3,High,8
10819,4,3,1,High,5
10826,4,4,2,High,2
10855,4,2,4,High,5
10866,4,4,2,High,8
10913,1,3,3,Low,3
10937,4,4,4,High,2
10944,4,2,3,High,9
10963,4,3,2,High,7
10983,1,3,4,Low,2
11008,4,1,2,Mid,1
11012,4,3,4,High,2
11039,4,2,1,Mid,4
11054,4,3,1,High,1
11056,4,3,1,High,4
11057,4,3,1,High,6
11096,4,4,1,High,0
11099,1,2,1,Low,1
11100,4,2,4,High,3
11105,4,4,4,High,9
11111,4,3,1,High,9
11120,4,4,3,High,3
11124,4,3,2,High,9
11133,1,1,3,Low,4
11137,4,3,3,High,1
11143,4,4,2,High,0
11145,4,2,1,Mid,4
11163,4,1,2,Mid,10
11167,4,3,2,High,3
11171,4,4,2,High,0
11177,4,4,4,High,2
11182,4,4,3,High,8
11183,4,2,4,High,7
11197,4,1,1,Mid,1
11202,4,4,1,High,0
11211,4,2,2,Mid,7
11213,4,2,1,Mid,5
11232,4,4,2,High,2
11237,4,1,1,Mid,7
11239,4,4,3,High,2
11252,4,4,4,High,5
11256,4,2,2,Mid,7
11303,4,3,2,High,7
11314,4,4,4,High,0
11343,1,2,2,Low,3
11347,4,3,2,High,7
11370,1,1,1,Low,1
11379,4,3,4,High,5
11382,1,1,1,Low,5
11401,4,2,2,Mid,1
11405,4,4,4,High,0
11417,1,1,2,Low,2
11420,4,1,1,Mid,1
11421,4,2,1,Mid,3
11426,4,3,4,High,2
11448,4,4,2,High,3
11451,4,3,4,High,8
11454,4,4,3,High,0
11460,4,3,2,High,4
11466,1,2,2,Low,2
11475,4,4,4,High,5
11494,4,3,1,High,2
11505,4,4,4,High,0
11550,4,4,1,High,0
11559,4,3,3,High,1
11563,1,3,2,Low,2
11568,1,3,1,Low,10
11570,1,1,2,Low,4
11577,4,3,2,High,1
11613,4,4,4,High,0
11619,4,2,2,Mid,4
11620,1,2,4,Low,4
11628,4,4,4,High,8
11630,4,2,3,High,7
11636,4,1,1,Mid,6
11648,4,3,2,High,1
11662,4,3,3,High,3
11673,4,1,4,Mid,2
11680,1,2,1,Low,4
11683,1,1,2,Low,1
11694,4,1,4,Mid,4
11729,4,3,4,High,5
11734,4,1,3,Mid,3
11742,4,1,3,Mid,6
11755,4,2,2,Mid,4
11756,4,4,4,High,0
11762,4,4,2,High,0
11765,4,3,1,High,4
11786,4,3,1,High,9
11813,4,1,1,Mid,1
11821,4,4,3,High,8
11822,1,1,4,Low,2
11823,1,3,1,Low,9
11827,4,4,4,High,0
11872,1,1,4,Low,1
11907,4,3,3,High,3
11921,4,3,2,High,10
11926,4,3,4,High,1
11961,1,1,3,Low,9
11964,4,2,2,Mid,4
11965,4,2,4,High,3
11971,1,2,3,Low,3
11976,4,4,4,High,2
11988,4,3,1,High,7
12001,4,2,3,High,1
12006,1,1,1,Low,7
12026,1,1,1,Low,4
12035,4,4,3,High,0
12048,1,2,4,Low,7
12060,4,4,3,High,2
12069,4,2,3,High,3
12095,4,2,1,Mid,5
12101,4,3,3,High,3
12122,1,1,1,Low,1
12127,1,2,2,Low,9
12144,4,1,2,Mid,2
12148,4,3,2,High,2
12154,4,2,3,High,5
12164,4,3,4,High,5
12179,4,1,4,Mid,1
12182,4,2,1,Mid,4
12184,4,2,1,Mid,8
12190,1,3,4,Low,8
12197,4,3,4,High,8
12202,4,2,4,High,2
12229,4,2,1,Mid,5
12259,4,4,1,High,0
12290,4,2,2,Mid,4
12316,1,3,2,Low,5
12329,4,2,3,High,2
12351,4,1,3,Mid,10
12356,4,3,3,High,3
12359,4,2,3,High,3
12378,4,4,1,High,2
12384,4,3,3,High,8
12387,4,4,2,High,0
12391,4,2,2,Mid,1
12396,1,1,1,Low,1
12403,4,3,4,High,7
12407,4,4,2,High,0
12424,4,1,3,Mid,3
12435,4,4,3,High,6
12443,4,2,1,Mid,7
12470,1,3,4,Low,7
12478,4,2,2,Mid,3
12501,4,3,3,High,0
12520,4,1,3,Mid,9
12525,4,2,4,High,8
12542,4,4,2,High,8
12563,4,3,3,High,1
12568,4,2,4,High,1
12585,4,3,3,High,1
12630,4,3,4,High,7
12649,4,4,3,High,0
12650,4,1,3,Mid,1
12652,4,4,4,High,2
12658,4,1,2,Mid,1
12665,4,4,4,High,8
12673,4,3,2,High,1
12695,4,1,4,Mid,5
12699,4,2,3,High,1
12709,4,3,4,High,4
12728,4,1,4,Mid,3
12733,4,4,1,High,0
12738,1,3,4,Low,1
12774,4,4,4,High,2
12781,4,2,1,Mid,2
12782,4,3,4,High,5
12800,4,2,1,Mid,7
12818,4,3,3,High,0
12831,4,3,4,High,6
12903,4,4,4,High,8
12913,4,4,2,High,8
12929,4,1,1,Mid,10
12935,4,2,4,High,1
12964,4,1,3,Mid,7
12971,4,4,3,High,0
12988,4,3,3,High,2
12993,4,2,2,Mid,1
13001,4,3,1,High,9
13019,4,1,1,Mid,1
13023,1,1,1,Low,7
13047,4,2,1,Mid,4
13054,1,3,3,Low,2
13055,1,1,3,Low,2
13069,4,4,3,High,2
13072,4,3,3,High,5
13100,4,4,3,High,8
13133,1,1,1,Low,7
13148,4,4,2,High,8
13152,4,4,2,High,0
13165,4,1,4,Mid,3
13174,4,2,2,Mid,3
13205,4,3,3,High,3
13219,4,4,3,High,2
13225,4,1,1,Mid,7
13226,1,1,1,Low,10
13243,4,3,1,High,1
13246,4,1,3,Mid,3
13252,4,4,3,High,0
13270,4,1,2,Mid,8
13273,4,3,2,High,1
13278,1,2,4,Low,3
13299,4,1,1,Mid,3
13311,4,4,2,High,8
13344,4,3,4,High,5
13372,4,1,2,Mid,3
13375,4,4,2,High,2
13384,4,3,3,High,4
13392,4,3,4,High,1
13429,4,1,2,Mid,7
13453,1,1,1,Low,2
13485,1,1,2,Low,1
13502,4,4,2,High,2
13508,4,1,2,Mid,1
13536,4,1,3,Mid,7
