Sender_Account_Num,rfm_score,importance_flag
3580,441,High
3582,412,Mid
3599,444,High
3602,433,High
3615,422,Mid
3634,412,Mid
3638,441,High
3642,411,Mid
3650,441,High
3675,112,Low
3694,421,Mid
3704,424,High
3712,424,High
3765,421,Mid
3776,414,Mid
3786,424,High
3795,431,High
3800,123,Low
3822,431,High
3838,424,High
3868,443,High
3880,431,High
3890,442,High
3896,433,High
3905,421,Mid
3907,111,Low
3934,113,Low
3939,443,High
3958,411,Mid
3970,433,High
3994,414,Mid
4009,441,High
4018,423,High
4021,442,High
4044,443,High
4047,121,Low
4081,123,Low
4083,114,Low
4106,414,Mid
4107,432,High
4125,443,High
4141,423,High
4142,424,High
4148,444,High
4154,413,Mid
4171,111,Low
4177,421,Mid
4206,444,High
4212,411,Mid
4230,411,Mid
4239,424,High
4265,433,High
4276,422,Mid
4279,443,High
4301,111,Low
4305,442,High
4309,434,High
4313,434,High
4324,431,High
4336,121,Low
4343,421,Mid
4386,122,Low
4403,132,Low
4416,441,High
4428,421,Mid
4463,432,High
4465,433,High
4490,424,High
4494,432,High
4497,413,Mid
4498,444,High
4511,112,Low
4516,441,High
4518,421,Mid
4526,444,High
4548,434,High
4549,422,Mid
4555,442,High
4558,444,High
4559,411,Mid
4571,114,Low
4572,442,High
4585,442,High
4614,432,High
4621,111,Low
4623,441,High
4651,411,Mid
4655,413,Mid
4686,433,High
4690,434,High
4691,413,Mid
4695,433,High
4697,444,High
4708,411,Mid
4710,442,High
4717,433,High
4731,444,High
4739,411,Mid
4754,411,Mid
4759,133,Low
4767,431,High
4809,443,High
4815,432,High
4818,431,High
4819,422,Mid
4820,122,Low
4823,432,High
4824,444,High
4832,432,High
4837,444,High
4838,433,High
4840,423,High
4861,421,Mid
4871,422,Mid
4875,434,High
4888,444,High
4898,431,High
4903,412,Mid
4905,434,High
4930,432,High
4931,414,Mid
4955,434,High
4958,444,High
4976,421,Mid
4993,414,Mid
5001,444,High
5039,433,High
5057,411,Mid
5058,432,High
5063,411,Mid
5068,413,Mid
5093,431,High
5108,443,High
5119,434,High
5127,411,Mid
5164,423,High
5167,111,Low
5173,432,High
5174,442,High
5180,111,Low
5198,411,Mid
5200,412,Mid
5215,432,High
5219,413,Mid
5222,433,High
5237,411,Mid
5241,423,High
5248,123,Low
5251,433,High
5261,123,Low
5266,124,Low
5276,411,Mid
5280,123,Low
5283,443,High
5285,434,High
5289,442,High
5291,432,High
5292,424,High
5298,443,High
5299,414,Mid
5300,113,Low
5304,444,High
5307,424,High
5319,443,High
5322,444,High
5338,423,High
5347,422,Mid
5353,114,Low
5357,443,High
5378,114,Low
5391,111,Low
5394,411,Mid
5403,414,Mid
5412,412,Mid
5439,421,Mid
5457,112,Low
5462,431,High
5486,442,High
5491,413,Mid
5494,124,Low
5499,423,High
5500,111,Low
5501,434,High
5511,432,High
5514,441,High
5522,442,High
5525,431,High
5538,423,High
5556,412,Mid
5569,444,High
5580,434,High
5589,422,Mid
5615,421,Mid
5620,424,High
5653,444,High
5671,432,High
5679,433,High
5701,442,High
5706,423,High
5720,111,Low
5733,114,Low
5740,444,High
5782,423,High
5784,114,Low
5797,444,High
5803,422,Mid
5805,442,High
5809,421,Mid
5831,443,High
5844,432,High
5852,443,High
5853,442,High
5876,424,High
5882,421,Mid
5889,111,Low
5890,421,Mid
5919,413,Mid
5936,423,High
5941,441,High
5960,443,High
5979,424,High
5984,443,High
6010,432,High
6016,131,Low
6030,424,High
6031,112,Low
6046,112,Low
6048,434,High
6053,442,High
6058,442,High
6059,431,High
6060,123,Low
6094,422,Mid
6097,424,High
6100,411,Mid
6104,421,Mid
6107,114,Low
6154,443,High
6186,411,Mid
6194,111,Low
6211,421,Mid
6233,442,High
6234,414,Mid
6246,423,High
6286,111,Low
6289,424,High
6293,411,Mid
6295,422,Mid
6296,122,Low
6302,131,Low
6315,121,Low
6327,121,Low
6339,433,High
6347,442,High
6360,442,High
6361,111,Low
6362,121,Low
6406,444,High
6415,422,Mid
6431,431,High
6445,111,Low
6459,442,High
6468,421,Mid
6508,444,High
6517,443,High
6518,444,High
6536,434,High
6540,442,High
6545,434,High
6563,431,High
6567,433,High
6574,434,High
6575,432,High
6589,112,Low
6616,443,High
6627,421,Mid
6650,413,Mid
6651,413,Mid
6653,443,High
6677,442,High
6679,124,Low
6692,412,Mid
6754,423,High
6782,432,High
6809,411,Mid
6829,432,High
6842,431,High
6874,423,High
6889,413,Mid
6892,434,High
6900,412,Mid
6919,431,High
6920,413,Mid
6922,421,Mid
6924,121,Low
6935,434,High
6947,432,High
6957,423,High
7002,443,High
7014,443,High
7018,423,High
7020,443,High
7025,422,Mid
7039,434,High
7041,444,High
7058,444,High
7059,444,High
7072,444,High
7073,433,High
7088,443,High
7104,431,High
7120,432,High
7129,122,Low
7134,433,High
7143,411,Mid
7150,121,Low
7170,432,High
7192,442,High
7201,121,Low
7214,414,Mid
7224,422,Mid
7234,441,High
7235,443,High
7239,411,Mid
7246,434,High
7248,441,High
7257,434,High
7269,412,Mid
7272,412,Mid
7292,422,Mid
7293,411,Mid
7296,411,Mid
7300,443,High
7301,442,High
7310,441,High
7312,132,Low
7317,413,Mid
7318,423,High
7330,443,High
7337,423,High
7369,433,High
7373,433,High
7389,132,Low
7395,443,High
7396,433,High
7417,422,Mid
7421,422,Mid
7446,433,High
7453,444,High
7472,443,High
7475,442,High
7485,434,High
7534,423,High
7538,433,High
7550,444,High
7572,432,High
7582,424,High
7601,413,Mid
7623,414,Mid
7637,413,Mid
7659,433,High
7664,121,Low
7672,421,Mid
7680,122,Low
7686,413,Mid
7690,434,High
7692,412,Mid
7694,444,High
7746,434,High
7783,422,Mid
7791,134,Low
7809,423,High
7810,434,High
7831,443,High
7843,412,Mid
7851,442,High
7853,433,High
7857,424,High
7875,111,Low
7877,443,High
7909,413,Mid
7949,424,High
7964,442,High
7970,423,High
7979,444,High
7984,431,High
8001,444,High
8024,434,High
8031,121,Low
8058,441,High
8059,433,High
8065,134,Low
8089,412,Mid
8094,432,High
8097,433,High
8109,114,Low
8135,412,Mid
8143,434,High
8144,422,Mid
8164,443,High
8166,423,High
8179,411,Mid
8194,433,High
8197,123,Low
8203,123,Low
8221,411,Mid
8232,432,High
8236,114,Low
8250,112,Low
8253,421,Mid
8260,124,Low
8266,412,Mid
8267,442,High
8268,121,Low
8294,414,Mid
8295,411,Mid
8296,114,Low
8306,121,Low
8307,423,High
8327,432,High
8328,421,Mid
8331,444,High
8334,443,High
8377,444,High
8381,121,Low
8386,411,Mid
8387,431,High
8418,423,High
8431,412,Mid
8438,432,High
8472,422,Mid
8473,442,High
8474,424,High
8487,424,High
8506,444,High
8507,434,High
8518,113,Low
8556,431,High
8565,121,Low
8568,113,Low
8572,124,Low
8583,113,Low
8603,421,Mid
8607,434,High
8625,411,Mid
8633,443,High
8655,432,High
8661,434,High
8668,424,High
8682,442,High
8691,432,High
8718,121,Low
8741,411,Mid
8744,411,Mid
8801,433,High
8815,431,High
8864,434,High
8880,421,Mid
8882,434,High
8906,433,High
8907,423,High
8919,434,High
8943,421,Mid
8947,433,High
8968,131,Low
8982,422,Mid
8994,122,Low
9022,432,High
9029,423,High
9030,422,Mid
9041,443,High
9048,444,High
9075,423,High
9076,412,Mid
9088,432,High
9120,433,High
9133,434,High
9141,424,High
9150,111,Low
9162,424,High
9172,431,High
9173,122,Low
9186,442,High
9189,432,High
9204,423,High
9218,432,High
9225,433,High
9239,421,Mid
9250,411,Mid
9255,433,High
9256,421,Mid
9262,412,Mid
9267,432,High
9300,433,High
9303,434,High
9323,413,Mid
9333,411,Mid
9337,113,Low
9341,412,Mid
9347,442,High
9360,443,High
9381,443,High
9399,143,Mid
9407,122,Low
9453,432,High
9460,413,Mid
9474,444,High
9479,122,Low
9480,443,High
9499,431,High
9508,443,High
9518,423,High
9579,443,High
9580,411,Mid
9600,441,High
9642,424,High
9660,413,Mid
9678,414,Mid
9685,422,Mid
9687,432,High
9691,132,Low
9724,441,High
9740,444,High
9756,113,Low
9820,444,High
9869,444,High
9874,431,High
9880,431,High
9894,411,Mid
9900,423,High
9916,441,High
9925,432,High
9928,111,Low
9936,421,Mid
9944,412,Mid
9951,413,Mid
9983,443,High
10000,112,Low
10004,442,High
10021,431,High
10062,411,Mid
10078,423,High
10092,424,High
10099,434,High
10126,134,Low
10130,424,High
10134,433,High
10141,444,High
10145,442,High
10147,114,Low
10156,422,Mid
10179,442,High
10180,112,Low
10209,424,High
10215,423,High
10253,442,High
10254,111,Low
10259,443,High
10280,411,Mid
10300,423,High
10314,423,High
10320,421,Mid
10356,441,High
10371,443,High
10386,411,Mid
10402,432,High
10410,424,High
10432,412,Mid
10442,411,Mid
10451,424,High
10454,423,High
10464,411,Mid
10479,423,High
10485,442,High
10514,442,High
10520,431,High
10521,412,Mid
10538,442,High
10572,421,Mid
10581,443,High
10586,111,Low
10592,121,Low
10605,114,Low
10606,412,Mid
10634,422,Mid
10636,432,High
10641,434,High
10659,134,Low
10693,411,Mid
10695,444,High
10696,433,High
10709,441,High
10716,411,Mid
10740,113,Low
10743,424,High
10765,114,Low
10794,433,High
10813,443,High
10819,431,High
10826,442,High
10855,424,High
10866,442,High
10913,133,Low
10937,444,High
10944,423,High
10963,432,High
10983,134,Low
11008,412,Mid
11012,434,High
11039,421,Mid
11054,431,High
11056,431,High
11057,431,High
11096,441,High
11099,121,Low
11100,424,High
11105,444,High
11111,431,High
11120,443,High
11124,432,High
11133,113,Low
11137,433,High
11143,442,High
11145,421,Mid
11163,412,Mid
11167,432,High
11171,442,High
11177,444,High
11182,443,High
11183,424,High
11197,411,Mid
11202,441,High
11211,422,Mid
11213,421,Mid
11232,442,High
11237,411,Mid
11239,443,High
11252,444,High
11256,422,Mid
11303,432,High
11314,444,High
11343,122,Low
11347,432,High
11370,111,Low
11379,434,High
11382,111,Low
11401,422,Mid
11405,444,High
11417,112,Low
11420,411,Mid
11421,421,Mid
11426,434,High
11448,442,High
11451,434,High
11454,443,High
11460,432,High
11466,122,Low
11475,444,High
11494,431,High
11505,444,High
11550,441,High
11559,433,High
11563,132,Low
11568,131,Low
11570,112,Low
11577,432,High
11613,444,High
11619,422,Mid
11620,124,Low
11628,444,High
11630,423,High
11636,411,Mid
11648,432,High
11662,433,High
11673,414,Mid
11680,121,Low
11683,112,Low
11694,414,Mid
11729,434,High
11734,413,Mid
11742,413,Mid
11755,422,Mid
11756,444,High
11762,442,High
11765,431,High
11786,431,High
11813,411,Mid
11821,443,High
11822,114,Low
11823,131,Low
11827,444,High
11872,114,Low
11907,433,High
11921,432,High
11926,434,High
11961,113,Low
11964,422,Mid
11965,424,High
11971,123,Low
11976,444,High
11988,431,High
12001,423,High
12006,111,Low
12026,111,Low
12035,443,High
12048,124,Low
12060,443,High
12069,423,High
12095,421,Mid
12101,433,High
12122,111,Low
12127,122,Low
12144,412,Mid
12148,432,High
12154,423,High
12164,434,High
12179,414,Mid
12182,421,Mid
12184,421,Mid
12190,134,Low
12197,434,High
12202,424,High
12229,421,Mid
12259,441,High
12290,422,Mid
12316,132,Low
12329,423,High
12351,413,Mid
12356,433,High
12359,423,High
12378,441,High
12384,433,High
12387,442,High
12391,422,Mid
12396,111,Low
12403,434,High
12407,442,High
12424,413,Mid
12435,443,High
12443,421,Mid
12470,134,Low
12478,422,Mid
12501,433,High
12520,413,Mid
12525,424,High
12542,442,High
12563,433,High
12568,424,High
12585,433,High
12630,434,High
12649,443,High
12650,413,Mid
12652,444,High
12658,412,Mid
12665,444,High
12673,432,High
12695,414,Mid
12699,423,High
12709,434,High
12728,414,Mid
12733,441,High
12738,134,Low
12774,444,High
12781,421,Mid
12782,434,High
12800,421,Mid
12818,433,High
12831,434,High
12903,444,High
12913,442,High
12929,411,Mid
12935,424,High
12964,413,Mid
12971,443,High
12988,433,High
12993,422,Mid
13001,431,High
13019,411,Mid
13023,111,Low
13047,421,Mid
13054,133,Low
13055,113,Low
13069,443,High
13072,433,High
13100,443,High
13133,111,Low
13148,442,High
13152,442,High
13165,414,Mid
13174,422,Mid
13205,433,High
13219,443,High
13225,411,Mid
13226,111,Low
13243,431,High
13246,413,Mid
13252,443,High
13270,412,Mid
13273,432,High
13278,124,Low
13299,411,Mid
13311,442,High
13344,434,High
13372,412,Mid
13375,442,High
13384,433,High
13392,434,High
13429,412,Mid
13453,111,Low
13485,112,Low
13502,442,High
13508,412,Mid
13536,413,Mid
13611,434,High
13613,434,High
13633,442,High
13677,434,High
13690,122,Low
13724,414,Mid
13738,412,Mid
13778,422,Mid
13798,442,High
13808,444,High
13822,121,Low
13824,111,Low
13865,431,High
13881,442,High
13886,422,Mid
13903,412,Mid
13904,131,Low
13927,421,Mid
13944,132,Low
13977,422,Mid
13991,423,High
13993,111,Low
14032,431,High
14036,414,Mid
14040,442,High
14069,443,High
14073,424,High
14074,411,Mid
14084,412,Mid
14097,411,Mid
14101,432,High
14124,434,High
14135,131,Low
14139,433,High
14147,132,Low
14154,421,Mid
14160,444,High
14167,423,High
14179,121,Low
14190,431,High
14202,433,High
14214,444,High
14243,412,Mid
14270,413,Mid
14272,442,High
14277,444,High
14289,444,High
14326,414,Mid
14345,424,High
14358,133,Low
14360,122,Low
14362,411,Mid
14372,421,Mid
14388,111,Low
14420,442,High
14424,434,High
14426,431,High
14446,411,Mid
14448,122,Low
14452,113,Low
14458,432,High
14460,441,High
14467,442,High
14468,113,Low
14496,423,High
14500,411,Mid
14506,412,Mid
14520,114,Low
14527,423,High
14534,421,Mid
14543,431,High
14547,112,Low
14556,444,High
14563,443,High
14577,443,High
14582,432,High
14590,414,Mid
14593,442,High
14598,124,Low
14601,431,High
14611,111,Low
14634,433,High
14662,433,High
14685,111,Low
14692,421,Mid
14697,413,Mid
14724,421,Mid
14749,412,Mid
14754,444,High
14769,433,High
14788,441,High
14793,111,Low
14837,441,High
14845,412,Mid
14850,134,Low
14865,133,Low
14867,112,Low
14877,444,High
14879,444,High
14894,113,Low
14899,131,Low
14913,444,High
14918,424,High
14929,412,Mid
14930,114,Low
14935,431,High
14955,434,High
14995,113,Low
15063,414,Mid
15078,431,High
15083,443,High
15086,432,High
15132,414,Mid
15135,112,Low
15148,443,High
15165,442,High
15169,124,Low
15171,411,Mid
15173,421,Mid
15184,433,High
15197,444,High
15214,434,High
15219,421,Mid
15239,443,High
15240,432,High
15250,434,High
15258,444,High
15264,433,High
15265,134,Low
15274,441,High
15277,431,High
15315,411,Mid
15320,443,High
15343,411,Mid
15347,432,High
15350,434,High
15353,434,High
15354,443,High
15377,411,Mid
15381,411,Mid
15382,423,High
15387,424,High
15393,412,Mid
15400,111,Low
15418,443,High
15424,122,Low
15431,111,Low
15438,432,High
15444,431,High
15454,423,High
15460,414,Mid
15468,442,High
15471,442,High
15483,424,High
15501,431,High
15515,423,High
15538,421,Mid
15550,433,High
15575,114,Low
15585,134,Low
15597,132,Low
15613,432,High
15618,442,High
15629,422,Mid
15633,422,Mid
15663,444,High
15711,443,High
15717,434,High
15730,422,Mid
15737,134,Low
15738,411,Mid
15788,424,High
15823,444,High
15829,441,High
15838,433,High
15867,134,Low
15880,422,Mid
15896,443,High
15911,443,High
15929,443,High
15935,444,High
15938,424,High
15944,442,High
15952,122,Low
15954,414,Mid
15964,413,Mid
15975,443,High
16004,124,Low
16006,434,High
16007,444,High
16015,424,High
16016,443,High
16019,413,Mid
16020,422,Mid
16029,434,High
16034,443,High
16056,433,High
16066,432,High
16070,111,Low
16105,431,High
16128,134,Low
16133,424,High
16141,433,High
16155,443,High
16183,411,Mid
16187,442,High
16192,412,Mid
16210,442,High
16213,121,Low
16216,424,High
16246,433,High
16247,431,High
16249,441,High
16257,133,Low
16272,423,High
16274,422,Mid
16275,443,High
16287,412,Mid
16291,442,High
16299,442,High
16306,423,High
16308,113,Low
16318,444,High
16334,412,Mid
16338,111,Low
16339,123,Low
16357,431,High
16365,421,Mid
16367,422,Mid
16392,432,High
16401,444,High
16406,112,Low
16414,423,High
16419,421,Mid
16425,423,High
16429,414,Mid
16444,413,Mid
16464,132,Low
16468,422,Mid
16469,433,High
16475,422,Mid
16503,431,High
16506,444,High
16509,424,High
16523,113,Low
16532,412,Mid
16539,114,Low
16544,432,High
16546,423,High
16588,442,High
16601,122,Low
16615,111,Low
16616,421,Mid
16634,424,High
16638,111,Low
16647,111,Low
16649,121,Low
16652,111,Low
16689,422,Mid
16698,434,High
16706,434,High
16709,441,High
16715,422,Mid
16731,443,High
16739,443,High
16751,441,High
16753,443,High
16779,433,High
16784,443,High
16801,421,Mid
16802,432,High
16817,442,High
16826,412,Mid
16834,431,High
16870,422,Mid
16882,111,Low
16902,132,Low
16907,424,High
16913,412,Mid
16918,443,High
16941,112,Low
16944,443,High
16952,424,High
16986,433,High
16993,441,High
16997,422,Mid
17004,431,High
17016,442,High
17025,431,High
17027,442,High
17034,141,Mid
17041,441,High
17052,441,High
17056,413,Mid
17057,424,High
17089,444,High
17098,411,Mid
17127,413,Mid
17130,421,Mid
17137,432,High
17143,412,Mid
17151,444,High
17155,133,Low
17158,441,High
17161,431,High
17163,433,High
17169,434,High
17181,423,High
17185,432,High
17191,431,High
17195,413,Mid
17196,111,Low
17210,111,Low
17213,422,Mid
17225,434,High
17231,422,Mid
17243,411,Mid
17256,123,Low
17259,424,High
17267,421,Mid
17276,433,High
17287,424,High
17291,124,Low
17294,423,High
17311,123,Low
17323,424,High
17328,442,High
17360,421,Mid
17379,434,High
17382,441,High
17383,121,Low
17397,112,Low
17398,444,High
17413,421,Mid
17419,444,High
17424,424,High
17427,111,Low
17434,441,High
17443,133,Low
17467,124,Low
17469,413,Mid
17479,443,High
17487,431,High
17517,414,Mid
17526,442,High
17528,434,High
17539,421,Mid
17555,443,High
17569,411,Mid
17608,442,High
17613,424,High
17622,442,High
17624,442,High
17647,122,Low
17662,444,High
17670,112,Low
17679,111,Low
17682,121,Low
17707,443,High
17717,442,High
17730,433,High
17735,421,Mid
17741,444,High
17744,442,High
17750,444,High
17756,434,High
17761,432,High
17763,442,High
17765,132,Low
17769,442,High
17781,444,High
17794,421,Mid
17813,444,High
17830,412,Mid
17844,432,High
17857,443,High
17884,423,High
17905,411,Mid
17938,432,High
17946,443,High
17947,433,High
17977,111,Low
18035,442,High
18041,122,Low
18057,111,Low
18061,433,High
18075,123,Low
18105,422,Mid
18107,123,Low
18114,433,High
18116,414,Mid
18142,434,High
18153,443,High
18161,412,Mid
18164,433,High
18168,123,Low
18179,123,Low
18195,411,Mid
18199,442,High
18208,444,High
18219,444,High
18252,411,Mid
18328,414,Mid
18351,411,Mid
18353,411,Mid
18358,111,Low
18364,114,Low
18365,424,High
18399,433,High
18402,134,Low
18405,442,High
18430,112,Low
18472,444,High
18488,444,High
18495,411,Mid
18520,434,High
18528,443,High
18538,122,Low
18545,423,High
18555,442,High
18595,444,High
18602,444,High
18604,411,Mid
18634,443,High
18640,424,High
18648,413,Mid
18654,423,High
18666,441,High
18690,424,High
18732,431,High
18754,431,High
18758,442,High
18761,421,Mid
18788,432,High
18793,431,High
18802,114,Low
18827,424,High
18834,413,Mid
18836,432,High
18840,431,High
18852,443,High
18858,122,Low
18860,444,High
18865,443,High
18881,441,High
18882,441,High
18909,431,High
18928,444,High
18945,434,High
18981,111,Low
18986,434,High
18987,111,Low
18993,412,Mid
19005,411,Mid
19014,422,Mid
19015,432,High
19027,434,High
19036,411,Mid
19071,433,High
19079,122,Low
19093,422,Mid
19124,414,Mid
19131,414,Mid
19143,432,High
19147,412,Mid
19183,432,High
19185,121,Low
19195,423,High
19206,434,High
19207,441,High
19212,432,High
19214,442,High
19236,112,Low
19245,443,High
19255,424,High
19268,431,High
19305,424,High
19316,412,Mid
19322,444,High
19325,421,Mid
19327,432,High
19328,122,Low
19369,431,High
19370,443,High
19388,424,High
19399,433,High
19407,412,Mid
19413,111,Low
19425,114,Low
19429,442,High
19441,414,Mid
19481,434,High
19486,411,Mid
19489,414,Mid
19491,111,Low
19519,442,High
19533,444,High
19545,442,High
19553,411,Mid
19561,431,High
19566,432,High
19570,432,High
19572,114,Low
19589,414,Mid
19596,111,Low
19608,432,High
19613,421,Mid
19633,433,High
19641,432,High
19668,411,Mid
19672,433,High
19676,431,High
19680,131,Low
19744,441,High
19757,411,Mid
19758,443,High
19761,444,High
19785,434,High
19810,444,High
19816,442,High
19818,111,Low
19841,442,High
19878,443,High
19884,442,High
19900,411,Mid
19907,421,Mid
19927,111,Low
19928,444,High
19936,432,High
19947,441,High
19949,434,High
19950,443,High
19952,444,High
19954,414,Mid
19964,114,Low
19990,412,Mid
19993,443,High
20003,433,High
20004,424,High
20005,441,High
20011,431,High
20017,444,High
20029,132,Low
20050,414,Mid
20063,412,Mid
20076,433,High
20089,441,High
20099,132,Low
20100,442,High
20130,421,Mid
20133,431,High
20145,411,Mid
20147,441,High
20148,423,High
20164,434,High
20186,112,Low
20191,411,Mid
20197,424,High
20207,412,Mid
20251,444,High
20253,432,High
20304,441,High
20339,433,High
20381,423,High
20388,433,High
20424,432,High
20431,441,High
20434,131,Low
20449,112,Low
20486,412,Mid
20500,411,Mid
20502,423,High
20505,442,High
20510,421,Mid
20514,411,Mid
20568,443,High
20575,433,High
20576,434,High
20577,421,Mid
20594,431,High
20597,433,High
20610,114,Low
20639,124,Low
20652,424,High
20661,433,High
20669,411,Mid
20710,434,High
20724,433,High
20725,411,Mid
20726,444,High
20729,431,High
20746,112,Low
20755,422,Mid
20756,443,High
20757,124,Low
20764,441,High
20769,412,Mid
20770,422,Mid
20772,441,High
20786,123,Low
20790,412,Mid
20791,444,High
20801,443,High
20804,442,High
20815,434,High
20818,444,High
20823,433,High
20833,111,Low
20840,432,High
20841,432,High
20847,434,High
20911,132,Low
20912,432,High
20916,422,Mid
20921,433,High
20923,421,Mid
20952,433,High
20955,423,High
20957,444,High
20965,424,High
20980,421,Mid
20981,443,High
20984,443,High
21000,431,High
21006,444,High
21007,412,Mid
21015,424,High
21016,113,Low
21021,413,Mid
21025,423,High
21066,441,High
21075,443,High
21087,434,High
21088,132,Low
21101,444,High
21112,431,High
21153,431,High
21159,421,Mid
21164,443,High
21174,434,High
21177,412,Mid
21178,411,Mid
21206,434,High
21222,443,High
21230,433,High
21237,122,Low
21278,421,Mid
21299,412,Mid
21321,443,High
21327,112,Low
21353,432,High
21368,421,Mid
21370,112,Low
21382,424,High
21385,443,High
21389,114,Low
21435,432,High
21496,443,High
21507,443,High
21515,122,Low
21532,443,High
21555,432,High
21563,443,High
21568,422,Mid
21573,423,High
21575,124,Low
21583,442,High
21586,422,Mid
21593,433,High
21603,442,High
21618,443,High
21631,431,High
21655,432,High
21667,442,High
21686,441,High
21718,411,Mid
21725,111,Low
21727,434,High
21772,114,Low
21775,112,Low
21781,412,Mid
21802,132,Low
21822,424,High
21826,433,High
21835,423,High
21859,443,High
21887,411,Mid
21890,421,Mid
21920,443,High
21921,414,Mid
21922,443,High
21928,443,High
21937,442,High
21949,434,High
21960,433,High
21987,433,High
21992,423,High
22009,111,Low
22016,421,Mid
22020,441,High
22021,421,Mid
22026,434,High
22033,442,High
22035,414,Mid
22044,432,High
22078,411,Mid
22085,421,Mid
22106,441,High
22121,443,High
22141,433,High
22148,421,Mid
22149,114,Low
22181,434,High
22188,442,High
22222,424,High
22228,444,High
22229,432,High
22245,444,High
22253,131,Low
22275,442,High
22291,442,High
22299,444,High
22305,421,Mid
22314,441,High
22315,432,High
22328,113,Low
22336,443,High
22345,412,Mid
22351,121,Low
22362,111,Low
22368,413,Mid
22382,111,Low
22418,444,High
22425,443,High
22429,413,Mid
22432,413,Mid
22482,111,Low
22483,111,Low
22503,122,Low
22506,441,High
22520,441,High
22540,424,High
22554,421,Mid
22567,431,High
22598,433,High
22607,134,Low
22622,444,High
22627,414,Mid
22629,424,High
22683,114,Low
22725,443,High
22741,444,High
22749,443,High
22751,411,Mid
22778,414,Mid
22786,113,Low
22814,442,High
22824,443,High
22828,121,Low
22835,432,High
22848,414,Mid
22849,422,Mid
22861,442,High
22871,444,High
22873,432,High
22877,443,High
22884,123,Low
22916,423,High
22917,441,High
22937,111,Low
22950,432,High
22976,424,High
22984,432,High
22985,414,Mid
23000,441,High
23004,433,High
23007,421,Mid
23010,424,High
23019,442,High
23029,122,Low
23047,414,Mid
23056,112,Low
23067,132,Low
23076,444,High
23078,422,Mid
23086,442,High
23090,113,Low
23110,431,High
23119,422,Mid
23130,422,Mid
23145,444,High
23151,434,High
23162,412,Mid
23181,444,High
23185,422,Mid
23192,111,Low
23229,422,Mid
23230,413,Mid
